Date,Open,High,Low,Close,Volume,Adj Close
2017-02-24,59.360001,59.360001,59.360001,59.360001,000,59.360001
2017-02-23,59.259998,59.259998,59.259998,59.259998,000,59.259998
2017-02-22,59.290001,59.290001,59.290001,59.290001,000,59.290001
2017-02-21,59.380001,59.380001,59.380001,59.380001,000,59.380001
2017-02-17,59.009998,59.009998,59.009998,59.009998,000,59.009998
2017-02-16,58.91,58.91,58.91,58.91,000,58.91
2017-02-15,58.98,58.98,58.98,58.98,000,58.98
2017-02-14,58.68,58.68,58.68,58.68,000,58.68
2017-02-13,58.450001,58.450001,58.450001,58.450001,000,58.450001
2017-02-10,58.150002,58.150002,58.150002,58.150002,000,58.150002
2017-02-09,57.919998,57.919998,57.919998,57.919998,000,57.919998
2017-02-08,57.529999,57.529999,57.529999,57.529999,000,57.529999
2017-02-07,57.470001,57.470001,57.470001,57.470001,000,57.470001
2017-02-06,57.490002,57.490002,57.490002,57.490002,000,57.490002
2017-02-03,57.639999,57.639999,57.639999,57.639999,000,57.639999
2017-02-02,57.169998,57.169998,57.169998,57.169998,000,57.169998
2017-02-01,57.139999,57.139999,57.139999,57.139999,000,57.139999
2017-01-31,57.130001,57.130001,57.130001,57.130001,000,57.130001
2017-01-30,57.110001,57.110001,57.110001,57.110001,000,57.110001
2017-01-27,57.50,57.50,57.50,57.50,000,57.50
2017-01-26,57.580002,57.580002,57.580002,57.580002,000,57.580002
2017-01-25,57.650002,57.650002,57.650002,57.650002,000,57.650002
2017-01-24,57.18,57.18,57.18,57.18,000,57.18
2017-01-23,56.740002,56.740002,56.740002,56.740002,000,56.740002
2017-01-20,56.889999,56.889999,56.889999,56.889999,000,56.889999
2017-01-19,56.700001,56.700001,56.700001,56.700001,000,56.700001
2017-01-18,56.93,56.93,56.93,56.93,000,56.93
2017-01-17,56.790001,56.790001,56.790001,56.790001,000,56.790001
2017-01-13,57.029999,57.029999,57.029999,57.029999,000,57.029999
2017-01-12,56.880001,56.880001,56.880001,56.880001,000,56.880001
2017-01-11,57.029999,57.029999,57.029999,57.029999,000,57.029999
2017-01-10,56.880001,56.880001,56.880001,56.880001,000,56.880001
2017-01-09,56.810001,56.810001,56.810001,56.810001,000,56.810001
2017-01-06,57.029999,57.029999,57.029999,57.029999,000,57.029999
2017-01-05,56.860001,56.860001,56.860001,56.860001,000,56.860001
2017-01-04,56.970001,56.970001,56.970001,56.970001,000,56.970001
2017-01-03,56.52,56.52,56.52,56.52,000,56.52
2016-12-30,56.060001,56.060001,56.060001,56.060001,000,56.060001
2016-12-29,56.310001,56.310001,56.310001,56.310001,000,56.310001
2016-12-28,56.310001,56.310001,56.310001,56.310001,000,56.310001
2016-12-27,56.799999,56.799999,56.799999,56.799999,000,56.799999
2016-12-23,56.66,56.66,56.66,56.66,000,56.66
2016-12-22,56.540001,56.540001,56.540001,56.540001,000,56.540001
2016-12-21,56.700001,56.700001,56.700001,56.700001,000,56.700001
2016-12-20,56.860001,56.860001,56.860001,56.860001,000,56.860001
2016-12-19,56.619999,56.619999,56.619999,56.619999,000,56.619999
2016-12-16,56.82,56.82,56.82,56.82,000,56.483998
2016-12-15,56.900002,56.900002,56.900002,56.900002,000,56.563527
2016-12-14,56.669998,56.669998,56.669998,56.669998,000,56.334884
2016-12-13,57.169998,57.169998,57.169998,57.169998,000,56.831927
2016-12-12,56.84,56.84,56.84,56.84,000,56.50388
2016-12-09,56.970001,56.970001,56.970001,56.970001,000,56.633113
2016-12-08,56.700001,56.700001,56.700001,56.700001,000,56.364709
2016-12-07,56.490002,56.490002,56.490002,56.490002,000,56.155952
2016-12-06,55.779999,55.779999,55.779999,55.779999,000,55.450147
2016-12-05,55.529999,55.529999,55.529999,55.529999,000,55.201626
2016-12-02,55.130001,55.130001,55.130001,55.130001,000,54.803993
2016-12-01,55.099998,55.099998,55.099998,55.099998,000,54.774168
2016-11-30,55.330002,55.330002,55.330002,55.330002,000,55.002811
2016-11-29,55.459999,55.459999,55.459999,55.459999,000,55.13204
2016-11-28,55.389999,55.389999,55.389999,55.389999,000,55.062454
2016-11-25,55.73,55.73,55.73,55.73,000,55.400444
2016-11-23,55.509998,55.509998,55.509998,55.509998,000,55.181743
2016-11-22,55.43,55.43,55.43,55.43,000,55.102219
2016-11-21,55.259998,55.259998,55.259998,55.259998,000,54.933222
2016-11-18,54.869999,54.869999,54.869999,54.869999,000,54.545529
2016-11-17,54.950001,54.950001,54.950001,54.950001,000,54.625057
2016-11-16,54.68,54.68,54.68,54.68,000,54.356654
2016-11-15,54.740002,54.740002,54.740002,54.740002,000,54.4163
2016-11-14,54.349998,54.349998,54.349998,54.349998,000,54.028603
